gifID,Name,Body Part,Target,Equipment,Secondary Muscles,Instructions,WorkoutType,Difficulty,Intensity
597,lever seated hip abduction,upper legs,abductors,leverage machine,"glutes, hamstrings","Adjust the seat height so that your knees are at a 90-degree angle.  Sit on the machine with your back against the backrest and your feet on the footrests.  Place your hands on the side handles for stability.  Engage your abductors and slowly push your legs apart, away from the midline of your body.  Pause for a moment at the end of the movement, then slowly bring your legs back together to the starting position.  Repeat for the desired number of repetitions.",Endurance,Beginner,0.37
710,side hip abduction,upper legs,abductors,body weight,"glutes, quadriceps","Stand with your feet shoulder-width apart and your hands on your hips.  Shift your weight to one leg and lift the opposite leg out to the side, keeping it straight.  Pause for a moment at the top, then slowly lower your leg back down to the starting position.  Repeat on the other side.  Continue alternating sides for the desired number of repetitions.",Endurance,Beginner,0.35
1427,straight leg outer hip abductor,upper legs,abductors,body weight,"glutes, hamstrings","Lie on your side with your legs straight and stacked on top of each other.  Place your bottom arm under your head for support.  Engage your core and lift your top leg as high as possible without rotating your hips or leaning backward.  Pause for a moment at the top, then slowly lower your leg back down to the starting position.  Repeat for the desired number of repetitions, then switch sides.",Endurance,Beginner,0.35
1774,side bridge hip abduction,upper legs,abductors,body weight,"glutes, obliques","Lie on your side with your legs extended and stacked on top of each other.  Prop yourself up on your forearm, keeping your elbow directly below your shoulder.  Engage your core and lift your hips off the ground, creating a straight line from your head to your feet.  While keeping your core engaged, lift your top leg as high as possible without rotating your hips.  Pause for a moment at the top, then lower your leg back down.  Repeat for the desired number of repetitions, then switch sides.",Endurance,Beginner,0.35
3006,resistance band seated hip abduction,upper legs,abductors,resistance band,"glutes, hamstrings","Sit on a chair or bench with your back straight and feet flat on the ground.  Wrap the resistance band around your thighs, just above your knees.  Place your hands on the sides of the chair or bench for support.  Engage your abductors (outer thigh muscles) and slowly push your knees apart, against the resistance of the band.  Pause for a moment at the end of the movement, then slowly bring your knees back together.  Repeat for the desired number of repetitions.",Endurance,Beginner,0.32
1,3/4 sit-up,waist,abs,body weight,"hip flexors, lower back","Lie flat on your back with your knees bent and feet flat on the ground.  Place your hands behind your head with your elbows pointing outwards.  Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle.  Pause for a moment at the top, then slowly lower your upper body back down to the starting position.  Repeat for the desired number of repetitions.",Core,Beginner,0.3
2,45° side bend,waist,abs,body weight,obliques,"Stand with your feet shoulder-width apart and your arms extended straight down by your sides.  Keeping your back straight and your core engaged, slowly bend your torso to one side, lowering your hand towards your knee.  Pause for a moment at the bottom, then slowly return to the starting position.  Repeat on the other side.  Continue alternating sides for the desired number of repetitions.",Flexibility,Beginner,0.2
3,air bike,waist,abs,body weight,hip flexors,"Lie flat on your back with your hands placed behind your head.  Lift your legs off the ground and bend your knees at a 90-degree angle.  Bring your right elbow towards your left knee while simultaneously straightening your right leg.  Return to the starting position and repeat the movement on the opposite side, bringing your left elbow towards your right knee while straightening your left leg.  Continue alternating sides in a pedaling motion for the desired number of repetitions.",Core,Beginner,0.3
6,alternate heel touchers,waist,abs,body weight,obliques,"Lie flat on your back with your knees bent and feet flat on the ground.  Extend your arms straight out to the sides, parallel to the ground.  Engaging your abs, lift your shoulders off the ground and reach your right hand towards your right heel.  Return to the starting position and repeat on the left side, reaching your left hand towards your left heel.  Continue alternating sides for the desired number of repetitions.",Core,Beginner,0.3
10,assisted hanging knee raise with throw down,waist,abs,assisted,"hip flexors, lower back","Hang from a pull-up bar with your arms fully extended and your palms facing away from you.  Engage your core and lift your knees towards your chest, keeping your legs together.  Once your knees are at chest level, explosively throw your legs down towards the ground, extending them fully.  Allow your legs to swing back up and repeat the movement for the desired number of repetitions.",Core,Beginner,0.25
